Country,Holiday Date,Holiday Name,Holiday season?,Peak Season?
Canada,01/01/2025,New Year's Day,Yes,No
Canada,04/18-04/21/2025,Easter Long Weekend (Good Friday & Easter Monday),Yes,No
Canada,05/17-05/19/2025,Victoria Day Long Weekend,Yes,No
Canada,06/24/2025,Saint-Jean-Baptiste Day ,Yes,No
Canada,07/01/2025,Canada Day,Yes,No
Canada,08/02-08/04/2025,Civic Holiday Long Weekend ,Yes,No
Canada,08/30-09/01/2025,Labour Day Long Weekend,Yes,No
Canada,09/30/2025,National Day for Truth and Reconciliation,Yes,No
Canada,10/11-10/13/2025,Thanksgiving Long Weekend,Yes,No
Canada,11/11/2025,Remembrance Day,Yes,No
Canada,12/20-12/29/2025,Christmas & Boxing Day Long Weekend,Yes,No
Canada,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
Canada,06/01-08/31/2025,Overall Peak Season,No,Yes
USA,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
United Kingdom,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
United Kingdom,07/01-08/31/2025,Overall Peak Season,No,Yes
France,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
France,07/01-08/31/2025,Overall Peak Season,No,Yes
Netherlands,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
Netherlands,12/20/2025-01/10/2026,Overall Peak Season,No,Yes
Germany,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
Germany,07/01-08/31/2025,Overall Peak Season,No,Yes
Ireland,01/01/2025,New Year's Day,Yes,No
Ireland,03/17/2025,St. Patrick's Day,Yes,No
Ireland,04/21/2025,Easter Monday,Yes,No
Ireland,05/05/2025,Labour Day,Yes,No
Ireland,12/25/2025,Christmas Day,Yes,No
Ireland,12/26/2025,St. Stephen's Day,Yes,No
Ireland,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
Ireland,07/01-08/31/2025,Overall Peak Season,No,Yes
Spain,01/01/2025,New Year's Day,Yes,No
Spain,01/06/2025,Epiphany,Yes,No
Spain,04/18/2025,Good Friday,Yes,No
Spain,05/01/2025,Labour Day,Yes,No
Spain,08/15/2025,Assumption of Mary,Yes,No
Spain,10/12/2025,National Day,Yes,No
Spain,11/01/2025,All Saints' Day,Yes,No
Spain,12/06/2025,Constitution Day,Yes,No
Spain,12/25/2025,Christmas Day,Yes,No
Spain,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
Spain,07/01-08/31/2025,Overall Peak Season,No,Yes
Italy,01/01/2025,New Year's Day,Yes,No
Italy,01/06/2025,Epiphany,Yes,No
Italy,04/21/2025,Easter Monday (Pasquetta),Yes,No
Italy,04/25/2025,Liberation Day,Yes,No
Italy,05/01/2025,Labour Day,Yes,No
Italy,06/02/2025,Republic Day,Yes,No
Italy,08/15/2025,Assumption Day,Yes,No
Italy,11/01/2025,All Saints' Day,Yes,No
Italy,12/08/2025,Immaculate Conception,Yes,No
Italy,12/25/2025,Christmas Day,Yes,No
Italy,12/26/2025,St. Stephen's Day,Yes,No
Italy,12/20/2025-01/10/2026,Christmas & New Year Holiday Season,Yes,Yes
Italy,07/01-08/31/2025,Overall Peak Season,No,Yes
