Origin,Destination
YEG,BCN
YEG,YOW
YEG,YVR
YEG,YYZ
YEG,FCO
YEG,ZRH
YEG,YUL
YEG,LIS
YEG,BRU
YEG,ARN
YEG,OSL
YEG,CPH
YEG,VIE
YEG,PRG
YEG,ATH
YEG,HEL
YEG,HND
YEG,NRT
YEG,ICN
YEG,PVG
YEG,PEK
YEG,HKG
YEG,SIN
YEG,BKK
YEG,KUL
YEG,MNL
YEG,DEL
YEG,BOM
YEG,DXB
YEG,DOH
YEG,MCT
YEG,KIX
YEG,CUN
YEG,PUJ
YEG,MBJ
YEG,SJU
YEG,HAV
YEG,LIM
YEG,GRU
YEG,BOG
YEG,SCL
YEG,MEX
YEG,SYD
YEG,MEL
YEG,AKL
YEG,CPT
YEG,JNB
YEG,CMN
YEG,ALG
YEG,CAI
YEG,YQT
YEG,YXE
YEG,YQG
YEG,YYG
YEG,YHM
YEG,YQR
YEG,YFB
YEG,YBB
YEG,YFC
YEG,YMM
YEG,YZF
YEG,YQX
YEG,YAM
YEG,YDF
YEG,YXU
YEG,YKF
YEG,YQZ
YEG,YPG
YEG,YSC
YEG,YQL
YEG,YXJ
YEG,YWG
YEG,YHZ
YEG,YQB
YEG,YOW
YEG,YEG
YEG,YYC
YEG,YYZ
YEG,JFK
YEG,LGA
YEG,EWR
YEG,BOS
YEG,ORD
YYC,BCN
YYC,FCO
YYC,ZRH
YYC,LIS
YYC,BRU
YYC,ARN
YYC,OSL
YYC,CPH
YYC,VIE
YYC,PRG
YYC,ATH
YYC,HEL
YYC,HND
YYC,NRT
YYC,ICN
YYC,PVG
YYC,PEK
YYC,HKG
YYC,SIN
YYC,BKK
YYC,KUL
YYC,MNL
YYC,DEL
YYC,BOM
YYC,DXB
YYC,DOH
YYC,MCT
YYC,KIX
YYC,CUN
YYC,PUJ
YYC,MBJ
YYC,SJU
YYC,HAV
YYC,LIM
YYC,GRU
YYC,BOG
YYC,SCL
YYC,MEX
YYC,SYD
YYC,MEL
YYC,AKL
YYC,CPT
YYC,JNB
YYC,CMN
YYC,ALG
YYC,CAI
YYC,YQT
YYC,YXE
YYC,YQG
YYC,YYG
YYC,YHM
YYC,YQR
YYC,YFB
YYC,YBB
YYC,YFC
YYC,YMM
YYC,YZF
YYC,YQX
YYC,YAM
YYC,YDF
YYC,YXU
YYC,YKF
YYC,YQZ
YYC,YPG
YYC,YRD
YYC,YSC
YYC,YQL
YYC,YXJ
YYC,YWG
YYC,YHZ
YYC,YQB
YYC,YOW
YYC,YEG
YYC,YYC
YYC,YYZ
YYC,JFK
YYC,LGA
YYC,EWR
YYC,BOS
YYC,ORD
YYC,DTW
YYC,ATL
YYC,MIA
YYC,DFW
YYC,LAX
YYC,SFO
YYC,DEN
YYC,IAD
YYC,DCA
YYC,PHX
YYC,MSP
YYC,CLE
YYC,MCO
YYC,IAH
YYC,STL
YYC,PIT
YYC,SLC
YYC,LHR
YYC,LGW
YYC,CDG
YYC,AMS
YYC,FRA
YYC,MUC
YYC,DUB
YYC,MAD
YVR,BCN
YVR,FCO
YVR,ZRH
YVR,LIS
YVR,BRU
YVR,ARN
YVR,OSL
YVR,CPH
YVR,VIE
YVR,PRG
YVR,ATH
YVR,HEL
YVR,HND
YVR,NRT
YVR,ICN
YVR,PVG
YVR,PEK
YVR,HKG
YVR,SIN
YVR,BKK
YVR,KUL
YVR,MNL
YVR,DEL
YVR,BOM
YVR,DXB
YVR,DOH
YVR,MCT
YVR,KIX
YVR,CUN
YVR,PUJ
YVR,MBJ
YVR,SJU
YVR,LIM
YVR,GRU
YVR,BOG
YVR,SCL
YVR,MEX
YVR,SYD
YVR,MEL
YVR,AKL
YVR,CPT
YVR,JNB
YVR,CMN
YVR,ALG
YVR,CAI
YVR,YQT
YVR,YXE
YVR,YQG
YVR,YYG
YVR,YHM
YVR,YQR
YVR,YFB
YVR,YBB
YVR,YFC
YVR,YMM
YVR,YZF
YVR,YQX
YVR,YAM
YVR,YDF
YVR,YXU
YVR,YKF
YVR,YQZ
YVR,YPG
YVR,YSC
YVR,YQL
YVR,YXJ
YVR,YWG
YVR,YHZ
YVR,YQB
YVR,YOW
YVR,YEG
YVR,YYC
YVR,YYZ
YVR,JFK
YVR,LGA
YVR,EWR
YVR,BOS
YVR,ORD
YVR,DTW
YVR,ATL
YVR,MIA
YVR,DFW
YVR,LAX
YVR,SFO
YVR,DEN
YVR,IAD
YVR,DCA
YVR,PHX
YVR,MSP
YVR,CLE
YVR,MCO
YVR,IAH
YVR,STL
YVR,PIT
YVR,SLC
YVR,LHR
YVR,LGW
YVR,CDG
YVR,AMS
YVR,FRA
YVR,MUC
YVR,DUB
YVR,MAD

YUL,BCN
YUL,FCO
YUL,ZRH
YUL,LIS
YUL,BRU
YUL,ARN
YUL,OSL
YUL,CPH
YUL,VIE
YUL,PRG
YUL,ATH
YUL,HEL
YUL,HND
YUL,NRT
YUL,ICN
YUL,PVG
YUL,PEK
YUL,HKG
YUL,SIN
YUL,BKK
YUL,KUL
YUL,MNL
YUL,DEL
YUL,BOM
YUL,DXB
YUL,DOH
YUL,MCT
YUL,KIX
YUL,CUN
YUL,PUJ
YUL,MBJ
YUL,SJU
YUL,HAV
YUL,LIM
YUL,GRU
YUL,BOG
YUL,SCL
YUL,MEX
YUL,SYD
YUL,MEL
YUL,AKL
YUL,CPT
YUL,JNB
YUL,CMN
YUL,ALG
YUL,CAI
YUL,YQT
YUL,YXE
YUL,YQG
YUL,YYG
YUL,YHM
YUL,YQR
YUL,YFB
YUL,YBB
YUL,YFC
YUL,YMM
YUL,YZF
YUL,YQX
YUL,YAM
YUL,YDF
YUL,YXU
YUL,YKF
YUL,YQZ
YUL,YPG
YUL,YRD
YUL,YSC
YUL,YQL
YUL,YXJ
YUL,YWG
YUL,YHZ
YUL,YQB
YUL,YOW
YUL,YEG
YUL,YYC
YUL,YYZ
YUL,JFK
YUL,LGA
YUL,EWR
YUL,BOS
YUL,ORD
YUL,DTW
YUL,ATL
YUL,MIA
YUL,DFW
YUL,LAX
YUL,SFO
YUL,DEN
YUL,IAD
YUL,DCA
YUL,PHX
YUL,MSP
YUL,CLE
YUL,MCO
YUL,IAH
YUL,STL
YUL,PIT
YUL,SLC
YUL,LHR
YUL,LGW
YUL,CDG
YUL,AMS
YUL,FRA
YUL,MUC
YUL,DUB
YUL,MAD
YYZ,BCN
YYZ,FCO
YYZ,ZRH
YYZ,LIS
YYZ,BRU
YYZ,ARN
YYZ,OSL
YYZ,CPH
YYZ,VIE
YYZ,PRG
YYZ,ATH
YYZ,HEL
YYZ,HND
YYZ,NRT
YYZ,ICN
YYZ,PVG
YYZ,PEK
YYZ,HKG
YYZ,SIN
YYZ,BKK
YYZ,KUL
YYZ,MNL
YYZ,DEL
YYZ,BOM
YYZ,DXB
YYZ,DOH
YYZ,MCT
YYZ,KIX
YYZ,CUN
YYZ,PUJ
YYZ,MBJ
YYZ,SJU
YYZ,HAV
YYZ,LIM
YYZ,GRU
YYZ,BOG
YYZ,SCL
YYZ,MEX
YYZ,SYD
YYZ,MEL
YYZ,AKL
YYZ,CPT
YYZ,JNB
YYZ,CMN
YYZ,ALG
YYZ,CAI
YYZ,YQT
YYZ,YXE
YYZ,YQG
YYZ,YYG
YYZ,YHM
YYZ,YQR
YYZ,YFB
YYZ,YBB
YYZ,YFC
YYZ,YMM
YYZ,YZF
YYZ,YQX
YYZ,YAM
YYZ,YDF
YYZ,YXU
YYZ,YKF
YYZ,YQZ
YYZ,YPG
YYZ,YRD
YYZ,YSC
YYZ,YQL
YYZ,YXJ
YYZ,YWG
YYZ,YHZ
YYZ,YQB
YYZ,YOW
YYZ,YEG
YYZ,YYC
YYZ,YYZ
YYZ,JFK
YYZ,LGA
YYZ,EWR
YYZ,BOS
YYZ,ORD
YYZ,DTW
YYZ,ATL
YYZ,MIA
YYZ,DFW
YYZ,LAX
YYZ,SFO
YYZ,DEN
YYZ,IAD
YYZ,DCA
YYZ,PHX
YYZ,MSP
YYZ,CLE
YYZ,MCO
YYZ,IAH
YYZ,STL
YYZ,PIT
YYZ,SLC
YYZ,LHR
YYZ,LGW
YYZ,CDG
YYZ,AMS
YYZ,FRA
YYZ,MUC
YYZ,DUB
YYZ,MAD
