Booking Date,Origin,Destination,Departure Date,Departure Day,Arrival Date,Arrival Day,Trip Duration,Price,Airline,stops - outbound,stops - return,duration - inbound,duration - return,Origin_Holiday_Season,Origin_Peak_Season,Dest_Holiday_Season,Dest_Peak_Season,On_Holiday,On_Peak,Unnamed: 20
2025-03-15,YVR,BCN,2025-03-16,Sunday,2025-03-19,Wednesday,3,2210.0,Lufthansa,1 stop,1 stop,14h 05m,14h 00m,No,No,No,No,No,No,
2025-03-15,YVR,LIM,2025-03-16,Sunday,2025-03-19,Wednesday,3,1372.0,"WestJet, LATAM Airlines",1 stop,1 stop,21h 25m,25h 04m,No,No,No,No,No,No,
2025-03-15,YVR,YQL,2025-03-16,Sunday,2025-03-19,Wednesday,3,1024.0,WestJet • Operated by Westjet Encore,1 stop,1 stop,7h 56m,3h 09m,No,No,No,No,No,No,
2025-03-15,YVR,LGW,2025-03-16,Sunday,2025-03-19,Wednesday,3,2312.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,18h 20m,13h 05m,No,No,No,No,No,No,
2025-03-15,YVR,YQL,2025-03-16,Sunday,2025-03-21,Friday,5,1198.0,WestJet • Operated by Westjet Encore,1 stop,1 stop,3h 51m,3h 09m,No,No,No,No,No,No,
2025-03-15,YVR,LIM,2025-03-16,Sunday,2025-03-21,Friday,5,1422.0,"WestJet, LATAM Airlines • Operated by Latam Airlines Peru",1 stop,1 stop,13h 35m,16h 31m,No,No,No,No,No,No,
2025-03-15,YVR,BCN,2025-03-16,Sunday,2025-03-21,Friday,5,2111.0,Lufthansa,1 stop,1 stop,14h 05m,13h 40m,No,No,No,No,No,No,
2025-03-15,YVR,LGW,2025-03-16,Sunday,2025-03-21,Friday,5,2824.0,"WestJet, Icelandair",2 stops,1 stop,18h 10m,13h 05m,No,No,No,No,No,No,
2025-03-15,YVR,YQL,2025-03-16,Sunday,2025-03-23,Sunday,7,776.0,WestJet • Operated by Westjet Encore,1 stop,1 stop,7h 56m,3h 09m,No,No,No,No,No,No,
2025-03-15,YVR,BCN,2025-03-16,Sunday,2025-03-23,Sunday,7,2187.0,Lufthansa,1 stop,1 stop,14h 05m,13h 40m,No,No,No,No,No,No,
